Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 02:03:33.641000,ZHO,24,0 days 00:01:27.863000,38.0,87.863,3.0,15.0,232.0,282.0,287.0,300.0,32.317,29.638,25.908
0 days 02:05:00.852000,ZHO,24,0 days 00:01:27.211000,39.0,87.211,4.0,14.0,230.0,278.0,276.0,328.0,31.978,29.403,25.83
0 days 02:06:28.005000,ZHO,24,0 days 00:01:27.153000,40.0,87.153,5.0,11.0,232.0,279.0,276.0,296.0,32.201,29.318,25.634
0 days 02:07:55.175000,ZHO,24,0 days 00:01:27.170000,41.0,87.17,6.0,11.0,231.0,279.0,276.0,294.0,32.19,29.356,25.624
0 days 02:09:22.251000,ZHO,24,0 days 00:01:27.076000,42.0,87.076,7.0,11.0,,279.0,276.0,293.0,32.079,29.325,25.672
0 days 02:10:49.201000,ZHO,24,0 days 00:01:26.950000,43.0,86.95,8.0,11.0,233.0,279.0,277.0,294.0,32.094,29.301,25.555
0 days 02:12:16.112000,ZHO,24,0 days 00:01:26.911000,44.0,86.911,9.0,8.0,,280.0,277.0,293.0,32.096,29.194,25.621
0 days 02:13:42.954000,ZHO,24,0 days 00:01:26.842000,45.0,86.842,10.0,6.0,,280.0,276.0,292.0,32.03,29.266,25.546
0 days 02:15:09.543000,ZHO,24,0 days 00:01:26.589000,46.0,86.589,11.0,6.0,234.0,279.0,277.0,293.0,31.934,29.23,25.425
0 days 02:16:36.095000,ZHO,24,0 days 00:01:26.552000,47.0,86.552,12.0,6.0,233.0,280.0,276.0,,31.985,29.045,25.522
0 days 02:18:02.835000,ZHO,24,0 days 00:01:26.740000,48.0,86.74,13.0,6.0,232.0,280.0,275.0,291.0,32.118,29.123,25.499
0 days 02:19:29.484000,ZHO,24,0 days 00:01:26.649000,49.0,86.649,14.0,6.0,,279.0,276.0,292.0,32.026,29.101,25.522
0 days 02:20:56.018000,ZHO,24,0 days 00:01:26.534000,50.0,86.534,15.0,6.0,234.0,280.0,276.0,,32.012,29.088,25.434
0 days 02:22:22.836000,ZHO,24,0 days 00:01:26.818000,51.0,86.818,16.0,6.0,232.0,279.0,275.0,289.0,32.109,29.165,25.544
0 days 02:23:53.436000,ZHO,24,0 days 00:01:30.600000,52.0,90.6,17.0,7.0,234.0,280.0,,298.0,31.92,29.125,29.555
0 days 02:25:42.602000,ZHO,24,0 days 00:01:49.166000,53.0,109.166,1.0,12.0,237.0,280.0,278.0,179.0,54.478,29.183,25.505
0 days 02:27:08.925000,ZHO,24,0 days 00:01:26.323000,54.0,86.323,2.0,12.0,,281.0,278.0,300.0,31.842,29.057,25.424
0 days 02:28:35.608000,ZHO,24,0 days 00:01:26.683000,55.0,86.683,3.0,12.0,235.0,281.0,279.0,298.0,32.042,29.189,25.452
0 days 02:30:02.309000,ZHO,24,0 days 00:01:26.701000,56.0,86.701,4.0,12.0,234.0,285.0,280.0,302.0,31.917,29.303,25.481
0 days 02:31:29.354000,ZHO,24,0 days 00:01:27.045000,57.0,87.045,5.0,12.0,232.0,284.0,286.0,301.0,32.116,29.424,25.505
0 days 01:04:48.477000,PER,11,0 days 00:02:14.418000,1.0,134.418,1.0,17.0,217.0,101.0,238.0,154.0,,41.206,47.98
0 days 01:07:11.455000,PER,11,0 days 00:02:22.978000,2.0,142.978,2.0,17.0,198.0,133.0,181.0,230.0,48.779,46.592,47.607
0 days 01:09:31.122000,PER,11,0 days 00:02:19.667000,3.0,139.667,3.0,14.0,79.0,203.0,237.0,,54.574,48.956,36.137
0 days 01:11:53.324000,PER,11,0 days 00:02:22.202000,4.0,142.202,4.0,13.0,160.0,86.0,276.0,255.0,46.076,47.461,48.665
0 days 01:13:26.715000,PER,11,0 days 00:01:33.391000,5.0,93.391,5.0,13.0,230.0,281.0,278.0,304.0,35.07,31.078,27.243
0 days 01:14:59.865000,PER,11,0 days 00:01:33.150000,6.0,93.15,6.0,14.0,223.0,284.0,278.0,308.0,34.876,31.05,27.224
0 days 01:16:31.132000,PER,11,0 days 00:01:31.267000,7.0,91.267,7.0,14.0,221.0,280.0,286.0,306.0,33.815,30.606,26.846
0 days 01:18:01.936000,PER,11,0 days 00:01:30.804000,8.0,90.804,8.0,14.0,229.0,279.0,286.0,331.0,33.195,30.941,26.668
